ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
11,Hermès,Terre d’Hermès Eau Très Fraîche,Holzig,Aquatisch / Zitrisch,"Kopf: Zitrusfrüchte, Orange, aquatische Noten
Herz: Geranium
Basis: Zeder, Holznoten, Patchouli","spritzig, holzig, aquatisch, würzig","belebend, elegant, klar",Zitrushaine am Meer – sonnengebleichte Hölzer und frische Brise,"Alltag, Büro, Freizeit","Frühling, Sommer",6–7 h,moderat,"frischer, zitrusbetonter Ableger des klassischen Terre d’Hermès mit Wasserakkord",Hermès,Terre d’Hermès Eau Très Fraîche,,,?,nicht im Alsterhaus gefunden,
12,Maison Margiela,Never-Ending Summer,Zitrisch,Gourmand / Würzig,"Kopf: Aperol, Bitterorange, Pfeffer
Herz: Kardamom, Earl‑Grey‑Tee, Muskatnuss
Basis: Vetiver, Zedernholz, Patchouli","zitrisch, würzig, holzig, teeartig","entspannt, sonnig, leicht bitter","Aperol‑Spritz am Strand, würzige Kräuternoten und Teeduft in der Luft","Freizeit, Urlaub, Sommerevents","Frühling, Sommer",5–6 h,moderat,einzigartiger Sommerduft mit Aperitif‑Note und aromatischem Tee,Maison Margiela,Never-Ending Summer,0.60,Frisch aber orangig,Douglas Jungfernstieg,,
13,Goldfield & Banks,Pacific Rock Moss,Aquatisch,Aromatisch / Grün,"Lineare Noten: Italienische Zitrone, Australisches Seemoos, Französischer Salbei, Ägyptische Geranie, Virginische Zeder","frisch, maritim, grün, holzig","relaxed, unbeschwert, sonnig","Felsküste mit Salzspray, Moos und Sonne am Pazifik","Freizeit, Urlaub, Strandtage","Frühling, Sommer",6–8 h,moderat,setzt seltene australische Küstenmoos‑Note ein,Goldfield & Banks,Pacific Rock Moss,0.65,"Frisch, leicht, fruchtig, süßlich ",Alsterhaus,,
14,Parfums de Marly,Greenley,Zitrisch,Fruchtig / Holzig,"Kopf: Grüner Apfel, Cashmere‑Holz, Mandarine, Sizilianische Bergamotte
Herz: Pomarose, Zedernholz, Petitgrain, Veilchen
Basis: Amberwood, Moschus, Eichenmoos","frisch, fruchtig, grün, holzig","energiegeladen, spritzig, modern","Taufrischer Apfelbaum im Morgengrauen, Holzstapel im Schatten","Alltag, Büro, Freizeit","Frühling, Sommer, Herbst",ca. 7 h,moderat,markante Kombination aus knackigem Apfel und Eichenmoos,Parfums de Marly,Greenley,0.70,"Gut und frisch, aber wie Duschgel grüner Apfel, kein Highlight ","Alsterhaus, Parfums Lubner",,
15,Penhaligon’s,Sartorial,Fougère,Aromatisch / Holzig,"Kopf: Kardamom, Metallische Noten, Aldehyde, Schwarzer Pfeffer, Ingwer, Ozonische Noten, Veilchenblatt, Neroli
Herz: Lavendel, Bienenwachs, Cyclamen, Leder, Lindenblüte
Basis: Honig, Amber, Zedernholz, Myrrhe, Eichenmoos, Patchouli, Tonkabohne, Vanille, Weißer Moschus, Guajakholz","würzig, holzig, aromatisch, balsamisch","edel, traditionell, unisex","Schneideratelier mit frischem Leinen, Bienenwachs und Lavendel – Britischer Chic","Büro, besondere Anlässe","Herbst, Winter, Frühling",7–8 h,moderat,moderne Fougère mit ungewöhnlichen Metall‑ und Bienenwachsnoten,Penhaligon’s,Sartorial,0.50,"Frisch, würzig, seifig",Alsterhaus,,
16,Jo Malone,Wood Sage & Sea Salt,Aquatisch,Aromatisch / Holzig,"Kopf: Ambrettesamen
Herz: Mineralische Noten, Meersalz
Basis: Salbei","salzig, frisch, aromatisch, holzig","frei, kühl, natürlich","windumtoste Klippen mit Meersalz, Treibholz und Salbeibusch","Alltag, Urlaub, Spaziergänge","Frühling, Sommer",5–6 h,moderat,innovativer See‑Salz‑Duft mit Salbeibasis,Jo Malone,Wood Sage & Sea Salt,0.65,"Holzig und Mandarine, nicht schlecht, wird mit der Zeit immer besser, am ende aber zu suess",Alsterhaus,,
17,BDK Parfums,Sel d’Argent,Aquatisch,Floral / Zitrisch,"Kopf: Salz, Italienische Bergamotte, Grapefruit
Herz: Orangenblüten‑Absolue, Ylang‑Ylang, Galbanum
Basis: Ambroxan, Cashmeran, Timbersilk, Weißer Moschus","maritim, zitrisch, moschusartig, floral","sanft, strahlend, elegant","glitzernde Salzkristalle auf sonnengeküsster Haut, Meer & Zitrusduft","Alltag, elegante Events","Frühling, Sommer",7–8 h,moderat bis stark,"moderne Verbindung aus salziger Haut, Blüten und abstrakten Hölzern",BDK Parfums,Sel d’Argent,0.75,"Sehr gut, vllt etwas zu süß und nicht ganz so frisch  - zu lavendelig/lakritzig - dritte Chance auf Haut?",Alsterhaus ,,
18,Pierre Guillaume,9.1 Komorebi,Holzig,Floral / Grün,"Kopf: Minze, Baumharz
Herz: Schwarze Johannisbeere, Reseda, Mimose
Basis: Eichenholz, Haselnuss, Tonkabohne Absolue","grün, holzig, süß‑harzig","beruhigend, poetisch, naturverbunden","japanischer Wald im Frühling – Lichtstrahlen durch Blätter, Harz und Minze","Alltag, Naturspaziergänge","Frühling, Sommer, Herbst",6–7 h,moderat,Name „Komorebi“ bedeutet „Sonnenlicht im Blätterdach“; ungewöhnliche Haselnuss‑Note,Pierre Guillaume,9.1 Komorebi,0.60,Geht so,Parfums Lubner,,
19,Nicolai Parfumeur,Fig Tea,Floral,Fruchtig / Grün,"Kopf: Orange, Osmanthus-Absolue
Herz: Koriander, Davana, Jasmin
Basis: Maté‑Absolue, Amber, Gaiac‑Holz","fruchtig, grün, blumig, holzig","leicht, sonnig, elegant",Nachmittagstee unter einem Feigenbaum mit Osmanthus-Konfitüre,"Alltag, Freizeit","Frühling, Sommer",5–6 h,moderat,frühe Feigen-Teekomposition mit aromatischer Maté‑Basis,Nicolai Parfumeur,Fig Tea,0.30,"Zu feigig, zu süß ",Alsterhaus,,
20,Marc-Antoine Barrois,B683 Extrait,Ledrig,Holzig / Orientalisch,"Kopf: Safran, Schwarzer Pfeffer, Muskatnuss, Rote Chilischote, Grüner Apfel
Herz: Veilchenblatt, Cumin, Labdanum, Oud-Akkord
Basis: Sandelholz, Patchouli, Ambroxan, Leder, Tonkabohne, Vanille","würzig, rauchig, ledrig, animalisch","intensiv, geheimnisvoll, maskulin","Wüstenkarawane – Gewürze, Lederwaren und brennendes Sandelholz","Abend, Winter","Herbst, Winter",8–10 h,stark,"intensiviert das Original B683 mit Cumin, Oud und Ambroxan",Marc-Antoine Barrois,B683 Extrait,0.35,"Spannend fruchtig ledrig, zu ledrig","Alsterhaus, Parfums Lubner",,
21,Dusita,Erawan,Fougère,Gourmand / Holzig,"Kopf: Petitgrain, Salbei
Herz: Heu, Vanille, Vetiver
Basis: Zedernholz, Eichenmoos, Tonkabohne","grün, würzig, vanillig, erdig","künstlerisch, herb, sonnig",spätsommerliches Kornfeld mit würzigem Heu und weicher Vanille,"Freizeit, Alltag","Frühling, Herbst",7–8 h,moderat,spielt mit Heu‑ und Vanilleakkorden für eine moderne Fougere,Dusita,Erawan,,,?,,
22,Prada,Luna Rossa (EdT),Fougère,Aromatisch / Zitrisch,"Kopf: Lavendel Absolue, Bitterorange
Herz: Nana‑Minze, Clary Salbei
Basis: Ambroxan, Ambrett‑Samen","frisch, zitrisch, minzig, aromatisch","energiegeladen, sportlich, modern",Segelyacht im Wind – kühle Minze und bittere Orange,"Sport, Büro, Alltag","Frühling, Sommer",6–7 h,moderat,vom America’s Cup inspirierter sportlicher Duft,Prada,Luna Rossa (EdT),0.40,"Frisch, lakritzig, Lavendelig, langweilig, klassisch ",Douglas EEZ,,
23,Diptyque,Eau de Lavande,Fougère,Aromatisch / Kräuter,"Lineare Noten: Lavendel, Lavendel-Absolue, Muskatnuss, Zimtblatt, Koriandersamen","würzig, krautig, floral, warm","elegant, nostalgisch, beruhigend",provenzalisches Lavendelfeld mit warmen Gewürzen,"Abend, entspannte Stunden","Frühling, Sommer",6–7 h,moderat,klassischer Lavendelduft mit wärmenden Gewürzen,Diptyque,Eau de Lavande,,wahrscheinlich zu lavendelig,?,nicht im Alsterhaus gefunden,
24,Jean Paul Gaultier,Le Male Elixir,Orientalisch,Fougère / Gourmand,"Kopf: Lavendel, Bergamotte, Spearmint
Herz: Zimt, Artemisia, Benzoin
Basis: Tonkabohne, Patchouli, Labdanum, Honig","süß, würzig, orientalisch, gourmand","verführerisch, intensiv, modern",Seemann im Hafen – süßer Honig trifft auf würzige Vanille,"Abend, Date, Club","Herbst, Winter",8–10 h,stark,"Neuinterpretation des Klassikers mit Tonka, Honig und Zimt",Jean Paul Gaultier,Le Male Elixir,0.40,"Lavendel, Lakritz, langweilig",Douglas EEZ,,
25,Atelier Cologne,Café Tuberosa,Floral,Gourmand / Würzig,"Kopf: Kalabrische Bergamotte, Guatemalischer Kardamom, Sizilianische Mandarine
Herz: Espresso, Indische Tuberose, Damaszener Rose
Basis: Bourbon‑Vanille, Kakao-Absolue, Indonesischer Patchouli","gourmand, floral, würzig, süß","luxuriös, weich, verführerisch",Pariser Café mit Cappuccino und Tuberosensträußen,"Abend, Freizeit","Herbst, Winter",7–8 h,moderat,verbindet echten Espresso mit üppiger Tuberose und Vanille,Atelier Cologne,Café Tuberosa,,wahrscheinlich zu suess,?,,
26,Maison Margiela,Coffee Break,Gourmand,Aromatisch / Fougère,"Kopf: Kaffee, Zitrone, Roter Apfel
Herz: Lavendel, Orangenblüten‑Absolue, Grüne Minze
Basis: Zedernholz, Milch, Sandelholz","süß, cremig, würzig, holzig","gemütlich, beruhigend, gourmand","gemütliches Café mit Latte, Lavendelgebäck und warmem Holz","Freizeit, entspannte Abende","Herbst, Winter",6–7 h,moderat,fängt die Atmosphäre eines Kaffeehauses mit Milch‑ und Lavendelakkord ein,Maison Margiela,Coffee Break,0.70,"Kaffe, Creme, leicht frisch, leicht süß, dezent wird immer süsser, am Ende Milch mit Vanille und leichtes Holz ",Douglas Jungfernstieg,,
27,Bvlgari,Eau Parfumée au Thé Vert,Zitrisch,Floral / Grün / Tee,"Kopf: Italienische Bergamotte
Herz: Grüner Tee
Basis: Bienenwachs, Tonkabohne","zitrisch, grün, sanft, moschusartig","sauber, beruhigend, minimalistisch",japanische Teestunde mit feiner Bergamotte,"Alltag, Büro","Frühling, Sommer",4–6 h,leicht bis moderat,"Pionier der Teedüfte, dezente Eau de Cologne",Bvlgari,Eau Parfumée au Thé Vert,,,Bvlgari,,
28,Heeley,Sel Marin,Fougère,Aquatisch / Aromatisch,"Kopf: Zitrone, Italienische Bergamotte
Herz: Algen, Jod (Meeresnoten)
Basis: Zedernholz, Vetiver, Birke","salzig, frisch, zitrisch, holzig","maritim, klar, entspannend",Morgen am Meeresufer mit salziger Brise und Treibholz,"Urlaub, Freizeit","Sommer, Frühling",6–7 h,moderat,realistischer Meer‑ und Seetang‑Akkord mit Jodnote,Heeley,Sel Marin,,,Parfums Lubner ,,
29,Elizabeth Arden,Green Tea,Zitrisch,Aromatisch / Grün / Tee,"Kopf: Zitrone, Bergamotte, Minze, Orangenschale, Rhabarber
Herz: Grüner Tee, Jasmin, Nelke, Fenchel, Sellerie
Basis: Moschus, Eichenmoos, Weißer Amber","frisch, zitrisch, grün, aromatisch","leicht, belebend, sauber",ein Glas eiskalter Grüntee im Garten mit Zitrusfrüchten,"Alltag, Sport","Frühling, Sommer",4–6 h,moderat,zugänglicher Grüntee-Klassiker mit frischem Zitrusauftakt,Elizabeth Arden,Green Tea,,,Galeria,,
30,Guerlain,Aqua Allegoria Herba Fresca,Zitrisch,Aquatisch / Aromatisch / Grün,"Kopf: Klee, Zitrone
Herz: Krause Minze, Grüner Tee
Basis: Cyclamen, Maiglöckchen, Birnenblüte","grün, minzig, zitrisch, floral","erfrischend, luftig, belebend","morgendlicher Spaziergang im Kräutergarten – feuchtes Gras, Zitrone und Minze","Alltag, sportliche Aktivitäten","Frühling, Sommer",5–6 h,moderat,"Teil der Aqua‑Allegoria‑Serie; harmonische Kombination aus Kräutern, Tee und Minze",Guerlain,Aqua Allegoria Herba Fresca,0.80,"Richtig gut fruchtig und frisch, spritzig. gruen, zitrisch, aber irgendwie nicht 100%, mag den untergeschmack nicht",Alsterhaus ,,
31,Maison Margiela,Matcha Meditation,Gourmand,Floral / Grün,"Kopf: Grüntee, Bergamotte, Mandarine
Herz: Matcha, Orangenblüte, Jasmin
Basis: Weiße Schokolade, Siam‑Benzoe, Moos","cremig, grün, süß, teeartig","beruhigend, hell, modern",japanische Matcha‑Zeremonie mit süßem Dessert und Moosduft,"Alltag, entspannte Momente","Frühling, Herbst",6–7 h,moderat,vereint Matcha‑Tee mit weißer Schokolade zu einer sanften Gourmand‑Komposition,Maison Margiela,Matcha Meditation,,,?,,
32,Armani,Thé Yulong,Zitrisch,Grün / Holzig / Rauchig,"Kopf: Mandarine, Petitgrain, Kardamom
Herz: Grüner Tee, Schwarzer Tee, Jasmin, Orangenblüte
Basis: Ambrette, Vetiver, Iris","frisch, grün, würzig, blumig","klar, ausgewogen, beruhigend",neblige Teeplantagen in den Bergen – grüner & schwarzer Tee vereint,"Alltag, Büro","Frühling, Sommer",6–7 h,moderat,seltene Verbindung von grünem und schwarzem Tee im Duft,Armani,Thé Yulong,0.75,"Richtig teeig, richtig gut, am Ende aber leider rosenseifig, etwas langweilig",Alsterhaus ,,
33,Memo Paris,Irish Leather,Ledrig,Aromatisch / Grün,"Kopf: Wacholderbeere, Mandarine, Rosa Pfeffer
Herz: Maté‑Absolue, Iris, Clary Salbei
Basis: Leder, Zedernholz, Vetiver","ledrig, grün, würzig, rauchig","wild, frei, herb","irische Landschaft, Pferdesättel und frischer grüner Wind","Abend, Outdoor, Statement","Frühling, Herbst",8–9 h,stark,Teil der „Cuirs Nomades“-Reihe; kombiniert Mate und Leder,Memo Paris,Irish Leather,0.75,"Ledrig, frisch spannend, Empfehlung für Winter, gut!, ueberzeugt aber nicht","Alsterhaus, Parfums Lubner ",,
34,Bottega Veneta,Pour Homme,Holzig,Aromatisch / Ledrig,"Kopf: Wacholder, Sibirische Kiefer, Kalabrische Bergamotte
Herz: Balsam‑Tannenharz, Muskatellersalbei, Labdanum, Piment
Basis: Leder, Indonesisches Patchouli","holzig, würzig, harzig, ledrig","elegant, grün, kultiviert",Spaziergang durch einen Pinienwald mit Lederhandschuhen und würzigen Harztropfen,"Büro, Outdoor, Abend","Herbst, Winter",6–7 h,moderat,verbindet frische Kiefer und Wacholder mit einer warmen Lederbasis,Bottega Veneta,Pour Homme,,,Alsterhaus,,
35,Miller Harris,Vetiver Insolent,Holzig,Aromatisch / Würzig,"Kopf: Bergamotte, Schwarzer Pfeffer, Kardamom, Elemi
Herz: Iris, Lavendel, Amber
Basis: Vetiver aus Haiti, Eichenmoos, Tonkabohne","erdig, würzig, rauchig, grün","robust, temperamentvoll, naturverbunden",Spaziergang durch einen Vetiver‑Wald mit Gewürzen und rauchigem Lagerfeuer,"Arbeit, Abend, Herbstausflug","Herbst, Winter",6–8 h,moderat,kräftiger Vetiver mit würzigen Kopfnoten und cremiger Tonka‑Basis,Miller Harris,Vetiver Insolent,0.40,"Frisch, fruchtig, zu schwer, zu süß ",Alsterhaus,,
36,Maison Francis Kurkdjian,Masculin Pluriel,Fougère,Holzig / Ledrig,"Kopf: Lavendel-Absolue
Herz: Zedernholz, Patchouli
Basis: Vetiver, Leder-Akkord","aromatisch, holzig, ledrig","kultiviert, klassisch, maskulin",gepflegter Gentleman im Pariser Café mit Lederhandschuhen,"Büro, formelle Anlässe",Ganzjährig,7–8 h,moderat,"eleganter Fougère, bei dem Lavendel auf Leder und dunkle Hölzer trifft",Maison Francis Kurkdjian,Masculin Pluriel,0.30,"Zu intensiv, after shave",Alsterhaus,,
37,Naomi Goodsir,Cuir Velours,Ledrig,Orientalisch / Tabak,"Kopf: Tabak, Rum
Herz: Immortelle, Labdanum, Honig
Basis: Leder, Amber, Weihrauch","ledrig, süß, balsamisch, rauchig","dunkel, sinnlich, retro","samtiges Ledersofa, Rumglas und süßer Honig im Kerzenlicht","Abend, Lounge, besondere Anlässe","Herbst, Winter",8–10 h,stark,"opulenter Lederduft mit Rum und Immortelle, nischiger Statement‑Duft",Naomi Goodsir,Cuir Velours,,,?,,
38,Amouage,Memoir Man,Ledrig,Fougère / Orientalisch-Holzig,"Kopf: Absinth, Minze, Wermut, Basilikum
Herz: Weihrauch, Lavendel‑Absolue, Rose
Basis: Amber, Gaiac‑Holz, Leder, Moschus, Eichenmoos, Sandelholz, Tabak, Vanille, Vetiver","dunkel, rauchig, würzig, aromatisch","geheimnisvoll, dramatisch, komplex","Bibliothek mit Lederbänden, Weihrauch und Kräuterlikör","Abend, Statement","Herbst, Winter",8–10 h,stark,vielschichtiger Weihrauch‑Leder‑Duft mit Kräuterabsinth,Amouage,Memoir Man,,,tryasample,,
39,Hermès,Hiris,Floral,Grün / Puderig,"Kopf: Iris, Amber, Nelke, Koriander
Herz: Iris, Rose, Neroli
Basis: Mandelbaum, Honig, Vanille, Zeder","pudrig, floral, süß, holzig","zart, elegant, nostalgisch",taufrisches Iris‑Feld am Morgen mit honigsüßer Note,"Alltag, Büro, Frühlingstage","Frühling, Sommer",5–7 h,moderat,"einer der ersten modernen Irisdüfte, verbindet pudrige Blumigkeit mit Mandelholz",Hermès,Hiris,0.70,Wie beschrieben ,Douglas EEZ,,
40,Armani Privé,Bois d’Encens,Holzig,Orientalisch / Rauchig,"Kopf: Schwarzer Pfeffer
Herz: Somalischer Weihrauch, Zedernholz
Basis: Vetiver","rauchig, harzig, holzig","spirituell, minimalistisch, andächtig",kühle Stein-Kapelle mit brennendem Weihrauch und trockenen Hölzern,"Abend, Meditation, formelle Abende","Herbst, Winter",6–8 h,moderat,puristischer Weihrauchduft mit nur wenigen edlen Ingredienzen,Armani Privé,Bois d’Encens,0.30,Zu holzig zu intensiv ,Alsterhaus,,
41,Chanel,Sycomore,Holzig,Chypre / Rauchig,"Lineare Noten: Vetiver, Zypresse, Wacholder, Sandelholz, Gewürze, Aldehyde, Rosa Pfeffer, Tabak, Veilchen","holzig, rauchig, würzig, grün","sophisticated, erdig, rauchig",Lagerfeuer im Kiefernwald: Vetiver und Zypresse verschmelzen mit Tabak,"Abend, schicke Events","Herbst, Winter",8–10 h,moderat bis stark,"majestätischer Vetiver‑Duft aus der „Les Exclusifs“-Kollektion, rauchig und elegant",Chanel,Sycomore,,,Chanel,,
42,Serge Lutens,Cuir Mauresque,Ledrig,Orientalisch / Würzig,"Kopf: Mandarinenschale, Orangenblüte
Herz: Zimt, Nelke, Kümmel, Leder, Jasmin
Basis: Amber, Myrrhe, Styrax, Zeder, Moschus","harzig, warm, ledrig, orientalisch","üppig, exotisch, geheimnisvoll","marokkanischer Ledermarkt mit Gewürzen, geräuchertem Leder und Harzen","Abend, festliche Anlässe","Herbst, Winter",8 h+,stark,kombiniert opulentes Leder mit Gewürzen und orientalischem Harz,Serge Lutens,Cuir Mauresque,,,?,nicht im Alsterhaus gefunden,
43,Prada,Infusion d’Iris Cèdre,Floral,Holzig / Puderig,"Lineare Noten: Iris pallida, Zedernholz, Galbanum, Italienische Mandarine, Siam‑Benzoe, Vetiver, Somalischer Weihrauch, Tunesischer Neroli","pudrig, holzig, frisch, zitrisch","elegant, sauber, sanft","frische Leinenbluse im Zedernschrank, Hauch von Weihrauch","Alltag, Büro","Frühling, Sommer",6–7 h,moderat,sanfte Iris‑Cèdre‑Komposition mit Weihrauch und Benzoe,Prada,Infusion d’Iris Cèdre,,,"Alsterhaus, Douglas Jungfernstieg",,
44,Miller et Bertaux,Menta y Menta,Fougère,Aromatisch / Grün,"Lineare Noten: Grüne Minze, Zitruszeste, Tee, Jasmin, marokkanische Minze, Kaffee","minzig, frisch, grün, leicht süß","belebend, natürlich, minimalistisch",frisch gebrühter Minztee mit Zitrusabrieb im Kräutergarten,"Alltag, Sport, Freizeit","Frühling, Sommer",5–6 h,moderat,fotorealistischer Minzduft mit Tee‑ und Kaffeenote,Miller et Bertaux,Menta y Menta,,,Parfums Lubner ,,
45,John Varvatos,XX Intense,Orientalisch,Gourmand / Holzig,"Kopf: Roter Apfel, Kardamom, Schwarzer Pfeffer
Herz: Orangeblüte, Zimt, Kaffeenote
Basis: Patchouli, Amber, Vanille, Zedernholz","würzig, süß, holzig, gourmand","modern, verführerisch, maskulin",Espresso mit Apfelkuchen und warmen Gewürzen in einer Lounge,"Abend, Club","Herbst, Winter",6–8 h,moderat,interpretiert die „XX“-Reihe mit dunkler Würze und süßem Kaffee,John Varvatos,XX Intense,,,?,,
46,Diptyque,Florabellio,Aquatisch,Aromatisch / Zitrisch-Grün,"Lineare Noten: Meeresakkorde, Kaffee, Zitrone, Apfelblüte","frisch, floral, aquatisch, süßlich","ungewöhnlich, luftig, salzig-süß",Apfelblütenhain an der Küste mit einem Hauch gerösteten Kaffees,"Alltag, Urlaub","Frühling, Sommer",6–8 h,moderat,mischt maritime Noten mit Kaffee und Apfelblüten – eine seltene Kombination,Diptyque,Florabellio,,wahrscheinlich zu apfelig,Parfums Lubner,nicht im Alsterhaus gefunden,
